GRID_Xe=343
GRID_Xv=173
Process uses GPU with id 0.
Starting PT loop, nbe=87653, nbv=44229
iter=78700, err=0.235033
iter=78800, err=0.234784
iter=78900, err=0.234535
iter=79000, err=0.234287
iter=79100, err=0.234038
iter=79200, err=0.23379
iter=79300, err=0.233542
iter=79400, err=0.233293
iter=79500, err=0.233045
iter=79600, err=0.232797
iter=79700, err=0.23255
iter=79800, err=0.232302
iter=79900, err=0.232054
iter=80000, err=0.231807
iter=80100, err=0.23156
iter=80200, err=0.231313
iter=80300, err=0.231065
iter=80400, err=0.230818
iter=80500, err=0.230572
iter=80600, err=0.230325
iter=80700, err=0.230078
iter=80800, err=0.229832
iter=80900, err=0.229585
iter=81000, err=0.229339
iter=81100, err=0.229093
iter=81200, err=0.228847
iter=81300, err=0.228601
iter=81400, err=0.228355
iter=81500, err=0.22811
iter=81600, err=0.227864
iter=81700, err=0.227619
iter=81800, err=0.227373
iter=81900, err=0.227128
iter=82000, err=0.226883
iter=82100, err=0.226638
iter=82200, err=0.226393
iter=82300, err=0.226148
iter=82400, err=0.225903
iter=82500, err=0.225659
iter=82600, err=0.225414
iter=82700, err=0.22517
iter=82800, err=0.224926
iter=82900, err=0.224682
iter=83000, err=0.224438
iter=83100, err=0.224194
iter=83200, err=0.22395
iter=83300, err=0.223706
iter=83400, err=0.223463
iter=83500, err=0.223219
iter=83600, err=0.222976
iter=83700, err=0.222733
iter=83800, err=0.22249
iter=83900, err=0.222247
iter=84000, err=0.222004
iter=84100, err=0.221761
iter=84200, err=0.221518
iter=84300, err=0.221276
iter=84400, err=0.221033
iter=84500, err=0.220791
iter=84600, err=0.220549
iter=84700, err=0.220306
iter=84800, err=0.220064
iter=84900, err=0.219823
iter=85000, err=0.219581
iter=85100, err=0.219339
iter=85200, err=0.219097
iter=85300, err=0.218856
iter=85400, err=0.218615
iter=85500, err=0.218373
iter=85600, err=0.218132
iter=85700, err=0.217891
iter=85800, err=0.21765
iter=85900, err=0.217409
iter=86000, err=0.217169
iter=86100, err=0.216928
iter=86200, err=0.216687
iter=86300, err=0.216447
iter=86400, err=0.216207
iter=86500, err=0.215967
iter=86600, err=0.215727
iter=86700, err=0.215487
iter=86800, err=0.215247
iter=86900, err=0.215007
iter=87000, err=0.214767
iter=87100, err=0.214528
iter=87200, err=0.214288
iter=87300, err=0.214049
iter=87400, err=0.21381
iter=87500, err=0.213571
iter=87600, err=0.213332
iter=87700, err=0.213093
iter=87800, err=0.212854
iter=87900, err=0.212616
iter=88000, err=0.212377
iter=88100, err=0.212139
iter=88200, err=0.2119
iter=88300, err=0.211662
iter=88400, err=0.211424
iter=88500, err=0.211186
iter=88600, err=0.210948
iter=88700, err=0.21071
iter=88800, err=0.210473
iter=88900, err=0.210235
iter=89000, err=0.209998
iter=89100, err=0.209761
iter=89200, err=0.209523
iter=89300, err=0.209286
iter=89400, err=0.209049
iter=89500, err=0.208812
iter=89600, err=0.208576
iter=89700, err=0.208339
iter=89800, err=0.208103
iter=89900, err=0.207866
iter=90000, err=0.20763
iter=90100, err=0.207394
iter=90200, err=0.207158
iter=90300, err=0.206922
iter=90400, err=0.206686
iter=90500, err=0.20645
iter=90600, err=0.206214
iter=90700, err=0.205979
iter=90800, err=0.205744
iter=90900, err=0.205508
iter=91000, err=0.205273
iter=91100, err=0.205038
iter=91200, err=0.204803
iter=91300, err=0.204568
iter=91400, err=0.204334
iter=91500, err=0.204099
iter=91600, err=0.203865
iter=91700, err=0.20363
iter=91800, err=0.203396
iter=91900, err=0.203162
iter=92000, err=0.202928
iter=92100, err=0.202694
iter=92200, err=0.202461
iter=92300, err=0.202227
iter=92400, err=0.201994
iter=92500, err=0.20176
iter=92600, err=0.201527
iter=92700, err=0.201294
iter=92800, err=0.201061
iter=92900, err=0.200828
iter=93000, err=0.200595
iter=93100, err=0.200362
